课程名称,课程属性,公选课领域,授课老师,课程内容与评价,考勤与平时作业,期末考核方式,课程成绩
西北水资源,通识选修课（公选课）,科学精神与生命关怀,谢平,西北地区水资源的开发利用与保护,一次个人pre，一次小组pre，有签到，但签到次数要求挺低的,每节课后两个课后思考题，结课上交纸质思考题即可,97
线性代数B,公共课（高数、线代、大物和思政课等）,非公选课,孙林林,老师上课内容比较难，但是给分不错,几乎不签到，平时作业少,闭卷考试，，，，，，，，,87
思想政治教育理论,专业课程,非公选课,杨威,杨威老师课讲得特别好，但给分真的贼拉低,自愿展示，有论文作业,闭卷考??考的可能和书上有关系，但要没有也可以没有，反正我裸考,70
普通物理三,专业课程,非公选课,郝中华,老师很好，第十三周考试，很捞，上课会经常摇人回答问题，上来演板，作业很OK的，线上提交,每节课签到，作业线上提交，每章小于十道，都是书上的，有答案,肯定闭卷考试哇，题目简单的,85
水利现代化,通识选修课（公选课）,科学精神与生命关怀,洪林,神中神，提前两周发卷子，答案就在ppt或者百度/ChatGPt直接搜索,最少签五次，一次展示,很简单很简单，开卷开卷,91
植物世界,通识选修课（公选课）,科学精神与生命关怀,汪小凡,讲各种科属的植物，收获确实很多,有一次签到，无平时作业,对着ppt做选择题，一张图片给四个选项，选出对应的科属,92
宏观经济学,专业课程,非公选课,逄金栋,给分没那么好，但是也还不错,期中有签到，有提问，有几次作业,闭卷考试闭卷考试闭卷考试,83
创新思维方法,通识选修课（公选课）,科学精神与生命关怀,谢皓,推荐，老师比较幽默，课上讲授的内容也挺有意思,每次签到 一次小组展示 有课上作业,完成期末报告 （形式类同运用知识课下开卷做一套试卷）,90
马克思基本原理,公共课（高数、线代、大物和思政课等）,非公选课,吴默闻,这个老师教的比较认真，但是课堂比较无聊，而且给分不好,考勤偶尔会有，平时作业比较少，主要看课堂发言,闭卷考试为主，加上之前的慕课为总成绩,81
药剂,专业课程,非公选课,田间,药剂的基础知识和老师的一些衍生内容,有课堂小测试（开卷）,闭卷考试，题目不难，给分很好,94
大学物理C,公共课（高数、线代、大物和思政课等）,非公选课,王倜,老师上课很好玩，喜欢开玩笑人很好,签到很少，而且很水，他觉得人太少了他就不会签,就是正常的期末考试加平时分,95
宏观经济学,专业课程,非公选课,魏珊,老师讲的很好，而且他很可爱，还很捞人， 会发往年卷、点曼昆上的题给我们复习,好像没点名，很少布置作业,考试啊，专业课呢，而且他还带过重修班,92
马克思主义哲学,专业课程,非公选课,赵凯荣,以德意志意识形态为文本展开讲述，涉及青年黑格尔派，康德，卢卡奇，阿尔都塞，海德格尔，广松涉，葛兰西等思想家革命家，老师知识渊博娓娓道来,主要是期末论文结课，给分很好，重要的是证明你阅读了相关书籍,论文结课，无平时作业和考勤，但建议全程听,90
中外名园品赏,通识选修课（公选课）,中华文化与世界文明,武静,世界各地的著名园林以及建筑,会有一次小组展示，无签到,期末开卷考试，比较容易,94
中华乐教导引,通识选修课（公选课）,艺术体验与审美鉴赏,易栋,易栋老师的课大家懂得都懂，一个字冲，两个字快冲，三个字快点冲。,没有平时作业和点名，有签到(好像就一次),老师会给几个题目，选一个写一篇论文，我记得是500字左右,95
量子力学,专业课程,非公选课,蔡浩,非常好，考试题目比较仁慈。,有作业，有签到，无大作业,闭卷考试闭卷考试闭卷考试,91
世界桥梁建筑艺术赏析,通识选修课（公选课）,艺术体验与审美鉴赏,万甄,课上事情比较多，但是老师给分很好,偶尔签到，会在学习通发布小作业，上课会经常提问,期末是小组自己设计桥梁作品还要展示，还有一次读书报告,90
创新思维与方法,通识选修课（公选课）,科学精神与生命关怀,谢皓,怎么培养创新思维、创新的方法,每次签到 上课会有互动 有一次小创新的展示 最后有一次大作业,回答试卷问题 开卷 时间充裕,92
线性代数B,公共课（高数、线代、大物和思政课等）,非公选课,饶胜,老师上课真的很一般...几乎全是自学，但是平时分给的不错,签到偶尔，每次有作业要交,根据学习的内容进行考试,96
户外运动与博物教育,通识选修课（公选课）,科学精神与生命关怀,许少峰,内容对想要入门户外的同学挺有用的，但是老师平时布置的任务很多很杂，不适合喜欢事少的老师的同学,有签到（出去和石刻拍照合影打卡为签到方式，没办法代签哦），没什么提问，小组展示有一次，平时课堂活动以小组为主，没有论文和大作业,开卷考试，题目只要是好好听就可以写出来,86
外交礼仪与文化,通识选修课（公选课）,中华文化与世界文明,吴蔚,前半学期老师授课，后半学期PPT展示，给分不错,小组PPT展示一次，其它无，每次课都会点名,闭卷考核。。。。。。。,91
音乐欣赏,通识选修课（公选课）,艺术体验与审美鉴赏,江柏安,给分完全是考试成绩，考试可以讨论,每节课课堂测试50%+期末考试50%,手机答题（都是选择题）,99
风险管理,专业课程,非公选课,胡抑菌,不错讲的很慢，带点方言,几次签到，期末大概率论文,论文论文论文论文论文,90
四书导读,通识选修课（公选课）,中华文化与世界文明,欧阳祯人,老师讲课挺幽默风趣，也能学到很多知识,平时没作业，但会面对面建群签到，上课也会点人回答问题,以前是开卷考，现在改闭卷考试了,88
西方政治思维启蒙,通识选修课（公选课）,社会科学与现代社会,申建林,各种新奇的社科观点 很有收获,无签到 无点名 啥都没有基本上,写对自己课程内容的思考和感想,93
创意艺术手绘,通识选修课（公选课）,艺术体验与审美鉴赏,杨青,主要是上课交怎么用水彩画人物画或者风景画,没有签到和小组作业，不提问,期末交一个这个学期画的水彩作品的合集就行,91
居住区规划设计,专业课程,非公选课,徐轩轩,主要是居住区设计实践，专业性比较强,无考勤，平时主要是看自己的安排，主动跟老师交流方案才能有序推进设计。,课程设计图纸，电脑出图,92
外交礼仪与谈判,通识选修课（公选课）,社会科学与现代社会,吴蔚,各国礼仪，日常礼仪，同学们pre时会讲到很多方面的礼仪，比较有意思，老师也很好,一次小组pre，每次点名签到,闭卷考试，考前会画重点,91
现当代女性写作,专业课程,非公选课,叶李,女性主义的产生以及各种当代发展,有推文任务和小组作业,论文结课 推文和小组展示,94
身边的材料学,通识选修课（公选课）,科学精神与生命关怀,肖文凯,超级推荐 事少给分好 老师人很好 会有不同的老师来教 对于人文社科的学生来说比较通俗易懂,只点了一次名 平时无作业,1.老师会发一个文件 回答五个材料学相关的问题（可以百度）2.一篇2500-5000字的结课作业 可以是小论文 也可以是学术随笔 也可以是上课的心得感受,94
乒乓球,体育课,非公选课,刘艳丽,乒乓球的相关知识及组织比赛,有签到、小组比赛、有时会组织乒乓球联赛,发球、接球等乒乓球基本的动作,89
中国近现代外交关系,通识选修课（公选课）,中华文化与世界文明,王萌,很好，快选!…………,有几次签到。。。。。。,开卷。。。。。。...,93
逻辑学导论,专业课程,非公选课,陈波,老师非常有风格水平也很高在课上会天马行空但是本人听不懂 全靠自学,平时上课没有签到 平时作业会有一个影评 会有一个期中考试,期末考试结课 老师宣称不难 但是我真的不会,90
中国古典园林赏析,通识选修课（公选课）,艺术体验与审美鉴赏,宋菊芳,会讲一些建筑发展史古典园林的设计理念建筑形制 以及一些古典建筑代表 结合诗词典故 讲的很好,平时分课上会提问自愿作答 每次回答会有记录 三次及以上平时分满分 问题都是课上讲过的重点很简单机会也很多 ,结课开卷考试有考前复习划重点,97
世界桥梁赏析,通识选修课（公选课）,艺术体验与审美鉴赏,万老师,通过援引不同时期不同种类的桥梁及其背后的文化发展，来鉴赏桥梁美学,有签到但随心，很多提问，有简单的手工小组展示，有中期读后感，大作业是以小组作业的形式设计一座桥梁,小组设计桥梁，2000字介绍，图解，形式不限,90
马克思主义基本原理,公共课（高数、线代、大物和思政课等）,非公选课,龚玉敏,老师非常好，讲课很深入，例子很有趣很深刻，很吸引人。,三次签到，小组作业两次,全校统一的闭卷考试，老师会划重点,93
宇宙新概念,通识选修课（公选课）,科学精神与生命关怀,赵江南,老师很好，平时不点名，最后开卷考试,无考勤，平时也并不点名，没有任何任务,开卷考试，里面有一个小论文，但也不难,88
化学原理（弘毅理科化学方向）,专业课程,非公选课,程功臻,旁征博引，幽默风趣，对物化有关内容的拓展很多，简单的不怎么讲要自学，难的内容考试不怎么考,不考勤，期末拍照发平时作业,统一闭卷考试+平时作业效果+期中小测+课堂笔记（！！！）,90
新能源与人类生活，VR创新体验,通识选修课（公选课）,科学精神与生命关怀,蔡锴,新能源的知识，申报国家级虚拟仿真软件的故事,有两次小作业，很简单，期末一篇论文1200字+,结课论文，很简单，给定的主题,97
西方政治制度,专业课程,非公选课,陈刚,主要讲解西方国家的政治制度，包括议会制度政党制度政府制度等，老师特别特别好，儒雅风趣还亲和，给分也很好,会签到 平时随堂有两次小测,闭卷考试 主要包括名词解释简答题等,96
军事高新技术及其应用,通识选修课（公选课）,社会科学与现代社会,唐蓉,现代科技武器及其各类应用,小组展示一次，偶尔会签到,交一篇大概3000字的论文,93
中国古代数术文化,专业课程,非公选课,晏昌贵,讲中国古代风水、卜卦、梦的预测等等,签到比较多 没有平时作业和小组展示,关于数术文化的3000字论文结课,91
建筑装饰漫谈,通识选修课（公选课）,科学精神与生命关怀,吴定燕,给分好，作业少，课程内容非常轻松，但是几乎每节课都会点名签到,几乎每节课都会点名签到,一篇1000字结课论文,92
地理信息科学概论,专业课程,非公选课,任福,老师非常好，讲的也很有意思,论文结课，人均90?,论文结课，上课不用听，可以干自己的事情，,92
大学生心理健康,通识选修课（公选课）,社会科学与现代社会,马鑫,马老师人好好 也学到了很多东西 课程要求比较宽松,无签到 有极少量随机提问 当时是一篇观后感+一篇总结,一篇关于自己心理成长的总结,93
舆论学,专业课程,非公选课,曹皓,很硬核 很干货 很难很难 老师很好,大论文 中期阅读报告 quiz,论文 小组一起完成 要求很高 谨慎,92
多媒体技术与虚拟现实,通识选修课（公选课）,科学精神与生命关怀,李艳,adobe软件的运用与创作,每节课有小作业但是老师会一步步教,完成一个小视频很简单难度不大,92
艺文审美导引,专业课程,非公选课,易栋,课程很轻松，听起来很有趣,无考勤，平时作业有 但不多,提交文档，写一些自己的想法,90
高等数学A2,公共课（高数、线代、大物和思政课等）,非公选课,胡新启,讲解很认真，也很幽默，但有人觉得不太好懂。,无考勤，有课程作业，需要认真完成,期末考试的形式，其占比很大,96
中国新诗与鉴赏,通识选修课（公选课）,艺术体验与审美鉴赏,余蔷薇,很好，老师人很有趣很亲和,有签到，无作业，无展示，几乎无提问,开卷考试，但不能携带电子设备,92
素质体育,体育课,非公选课,邢雅彬,太极 篮球 排球 等等... 给分水,经常会有点名 然后期末考都比较水,就是排球篮球还有跑步之类的,92
人文社科经典导引,通识必修课（导引课）,非公选课,文建东,人文经典导引，讲书的,每次考勤两周一pre，老师比较凶，要求比较多,论文，三千个字，要求不严格,92
海外中国印象史,通识选修课（公选课）,中华文化与世界文明,李会玲,课程主要讲述海外国家对中国的印象发展变化史。老师教学用心负责。,每节课都有签到，有两次平时作业，内容是ppt上的题目。,开卷考试，但不允许使用电子产品。,90
史学概论,专业课程,非公选课,朱海,就是史学理论与方法，可能会讲一点史学史,10%点名一次但提前通知，平时作业两篇论文(不用规范格式，其实要求不高)30%，期末开卷可以带电子产品60%,开卷考试，虽然可以带电子产品，其实时间挺紧张的基本用不上,84
高等数学C1,公共课（高数、线代、大物和思政课等）,非公选课,周明春,老师讲解很仔细，全部课程内容都有详细版书,签到比较随机，随机的课前随机点名,由课程组进行统一考试,100
海外中国印象史,通识选修课（公选课）,中华文化与世界文明,李会玲,课程主要讲述海外国家对中国的印象发展变化史。老师教学用心负责。,每节课都有签到，有两次平时作业，内容是ppt上的题目。,开卷考试，但不允许使用电子产品。,90
城市阅读,通识选修课（公选课）,艺术体验与审美鉴赏,张霞,邀请不同的老师和各领域专家阅读世界各地的城市，算比较有意思,无签到，一次小组展示，无提问，没有大作业。,期末2500字城市阅读报告,95
创意趣味手绘,通识选修课（公选课）,艺术体验与审美鉴赏,杨青,教一些基础的绘画内容，包括怎么使用水彩颜料，素描与构图技法等等,平时不考勤（一个学期只去了三次?? ），也没有作业，老师人超级好，上课夸夸夸,交几幅自己课上画的小作品（题材和形式都不限），或者把作品做一个vlog发给老师，我把以前自己画的存货交了，轻松过关?? ,95
摄影,专业课程,非公选课,胡壮利,给分八十多 九十多都有 不会太低,偶尔签到 有平时作业,摄影作品结课，不考试,86
音乐欣赏,通识选修课（公选课）,艺术体验与审美鉴赏,江柏安,古典音乐和流行音乐，有基础的乐理,每节课pre，按50％计入总成绩,开卷考试，内容来自平时ppt和pre,93
用户体验设计,专业课程,非公选课,赵扬,对软件或者其他东西进行用户体验的分析，进行优化,小组组队，有一次分享,大作业小组展示自己研究项目的成果,89
乡土建筑赏析,通识选修课（公选课）,艺术体验与审美鉴赏,王,讲各地建筑特色，他到各地的观察经历,无签到，无展示，论文大作业,开卷考，其他啥都不需要,90
政治经济学,专业课程,非公选课,张平,老师给分特别特别严，快跑,平时倒是没啥事，偶尔点一两次名,闭卷考试，没有论文小组讨论，但是考试给分很严,68
瑜伽,体育课,非公选课,蔺志华,课程内容主要是练习瑜伽，读书分享，冥想，老师人很nice 个人觉得这门课无脑冲,看情况签到，平时作业老师都定的比较随机，但是都是简单的小任务,做一套太阳致敬式 不难的,90
元素营养与健康,通识选修课（公选课）,科学精神与生命关怀,田卫群,老师人很好，内容简单易懂,每节课都会课前签到，偶尔有小测,提前发卷子答完交电子版,94
高数c ,公共课（高数、线代、大物和思政课等）,非公选课,杨乔华,高数，老师人很好，也很会捞，不卡人,三次点名，每节课都有作业，线上交，但是作业量很少,期末考试，全校统一改卷,100
黄河史,通识选修课（公选课）,中华文化与世界文明,梁利,黄河的发展历史与现状,两次小作业（都很简单），每节课都要签到。,论文结课，手写加分。,92
日语配音与艺术,专业课程,非公选课,韩永,主要就是鉴赏电影，赏析日本译制片,做一次小组配音作业，每节课都有签到,写一份课程报告就结束了,93
电机学(上),专业课程,非公选课,应黎明,老师平时会给单独的作业题，考试题基本和作业题大同小异,偶尔考勤，平时作业一次就两三道,期末闭卷考试闭卷考试,89
口语艺术与民宿文化,通识选修课（公选课）,中华文化与世界文明,李向振,挺好的，老师给分不错，然后内容也挺有趣的。,一次签到，其他好像没有什么了,写一篇故事然后会在期末让你交期中的ppt,92
新时代中国特色社会主义劳动教育,通识选修课（公选课）,社会科学与现代社会,无,超级轻松，只用刷学习通就好啦，期末直接99，就是只有一学分,超级轻松，只用刷学习通就好啦，期末直接99，就是只有一学分,没有期末考试，只用刷学习通,99
经济与人文地理,专业课程,非公选课,贾涛,避雷！文科生跨 最后都是82－86,作业挺多，期中一个小组，期末一个小组，结课还有论文,论文，对于格式要求很严，要交查重报告,84
元素营养与健康,通识选修课（公选课）,科学精神与生命关怀,田卫群,老师人很好，内容简单易懂,每节课都会课前签到，偶尔有小测,提前发卷子答完交电子版,94
细胞生物学,专业课程,非公选课,雷曹琦,细胞生物学，生科专业课程,签到，平时作业有，看情况,有期中，期末闭卷考试,91
中外美术鉴赏,通识选修课（公选课）,艺术体验与审美鉴赏,王诚浩,避雷吧大部分人，一是上课要求高，每节都考勤，二是要求这么多，给分还一般，三是几乎就是按PPT讲，也比较枯燥，如果有更好的选择尽量别选这门通识吧,每节考勤签到，中间一次三人小组pre，最后上课可带电子产品的3000字论文写作，这个老师上课不想让下面的学生不听课所以频繁管纪律，只能说好也不好吧,考勤+pre+当堂写结课论文,86
c语言程序设计,公共课（高数、线代、大物和思政课等）,非公选课,康卓,老师平时分拉满，有问必答,无签到，有三次小作业和一次大作业,统一纸质考试，作业按理来说需要都完成，但是不做老师还是给了平时分,86
电机学,专业课程,非公选课,李自品,讲得很平，本来电机就难，最后很难理解内容，不过重点都在，要是死记硬背他上课讲的结论，应该也能考的不错,没有签到，不会查人，作业相比别的班布置的很少,最后期末考试?平时作业,88
俄罗斯历史,通识选修课（公选课）,中华文化与世界文明,牟茉英,讲的比较水，给分还不错,平时作业是一次小组展示，拍视频或者表演给分好一点,自选主题写一篇论文，和自己专业有关的给分更好,90
乡土建筑赏析,通识选修课（公选课）,艺术体验与审美鉴赏,王,讲各地建筑特色，他到各地的观察经历,无签到，无展示，论文大作业,开卷考，其他啥都不需要,90
俄罗斯历史,通识选修课（公选课）,中华文化与世界文明,牟沐英,有小组展示，平时不点名，论文结课，给分一般,小组展示，没有签到，不点名,论文结课，但是感觉给分不太行,86
系统方法与应用,专业课程,非公选课,刘伟兵,非常好，强推，讲基础博弈论的，不难,不考勤，不提问，没有平时作业，很轻松,闭卷考试五道题，都是课上讲过的原题,98
海外中国印象史,通识选修课（公选课）,中华文化与世界文明,李会玲,课程主要讲述海外国家对中国的印象发展变化史。老师教学用心负责。,每节课都有签到，有两次平时作业，内容是ppt上的题目。,开卷考试，但不允许使用电子产品。,90
博弈论,通识选修课（公选课）,社会科学与现代社会,陈植元,课程和老师有意思，但考试有点难，老师会硬捞,只有考试，没有作业签到，老师很佛很佛很有意思,考试结课为什么这个题还要十个字,86
计算机组成原理,专业课程,非公选课,czh,老师用心负责，值得信赖,有平时纸质作业，交作业签到,闭卷考试，老师会捞。,93
东方电影与东方文化,通识选修课（公选课）,艺术体验与审美鉴赏,黄献文,上课主要是看电影，老师人很好,不点名也没有平时作业，考勤不担心哈哈哈哈,期末写2000字左右的影评或者论文，来源于课堂放映内容～,85
排舞,体育课,非公选课,黄静,上课分为三部分，做游戏，学舞蹈，和素质锻炼，挺有意思的,每节课都点到，不到会影响这一部分成绩,组队跳舞，但跳的不咋地也有90+,96
概率论与数理统计,公共课（高数、线代、大物和思政课等）,非公选课,余月力,概率论的课本内容以及老师上课自编的段子,无签到无提问，作业极少，最后期末考试,参加学校统一的概率论与数理统计期末考试,96
古文字学,专业课程,非公选课,肖圣中,讲古文字的，老师很有趣哈哈哈哈哈(对他每次上课带来的五花八门的饮料很感兴趣嘿嘿),不考勤，平时作业是查一千多个字的古文字,闭卷(但有范围，背好老师划定的几篇卜辞问题就不大),90
无人机遥感创三,专业课程,非公选课,季铮,是第三学期、专业选修、创新创业课程，但是内容很简单，专业知识只用了解，理论和实践结合，有两三天时间上手无人机，包教包会！课程很轻松，老师很随和！不会的地方随便问同学老师，助教和老师都是温柔指导的～,有签到，无提问，分小组练习无人机但无小组展示，平时无作业,①无人机操作实地考核（很简单随便飞，打分相差不大）②实习报告（就是流水账，每天做什么）③课堂汇报（PPT，讲5-10分钟，谈无人机遥感和其他领域的结合应用）,92
电路原理,专业课程,非公选课,樊亚东,没有一道大题答完整的，还上80了,作业适中，基本不点名,平时成绩30%，期末70%,81
微机原理,专业课程,非公选课,张荣,纯cjb，这个坑无法用语言形容，建议选面向电气工程开的微机原理,有提问，没有签到和作业,闭卷考试，平时分全看老师心情,78
公共政策概论,专业课程,非公选课,陈世香,专业课，老师上课会点人回答问题，很吓人,有小组的展示还有定期（三四次）的讨论，还要提交讨论报告，,闭卷考试，但是往年考题背一下就行，任务量不算太重,92
健美操,体育课,非公选课,李勇,老师人很好，健美操考验记性和肢体协调，但只要好好练都能拿高分，老师给分很好,每节课都点名 平时就练练操,小组合作跳健美操和波浪舞,90
汽车文化与人类文明,通识选修课（公选课）,科学精神与生命关怀,万卉,讲的就是汽车的历史，很水，老师给分好,会有现场签到，无小组作业,期末开卷考试，就是关于汽车的历史发展什么的,99
当代国际经济热点问题,通识选修课（公选课）,社会科学与现代社会,胡艺,讲国际的经济趋势等，包括中美贸易战，日本经济危机之类的,不点名，无提问，无平时作业,开卷考试，，，，，，,86
地方政府概论,专业课程,非公选课,杜姣,地方政府相关知识，相对比较专业,没有签到，有一次个人展示,闭卷考，名词解释+简答+论述,96
西北地区水资源与生态环境,通识选修课（公选课）,科学精神与生命关怀,谢平,特别好，给分很好，老师讲的很有意思，pre很鼓励每一位学生,一次小组作业，做pre展示,一次小组作业和课后习题上交,98
环境变迁与人类生育力改变,通识选修课（公选课）,科学精神与生命关怀,李赛姣,主要讲述环境因素对两性生殖的影响，都是人民医院生殖中心的老师专业的科普,最后一节课有签到，平时无签到或任何作业,与课程主题有关的论文，无字数要求，什么都可以写,89
超导技术与应用,通识选修课（公选课）,社会科学与现代社会,彭晓涛,老师人特别的随和！也不点名，超级好,没有平时作业，很轻松很摸鱼,开卷写题，可以百度，给分也超级好,96
西北水资源,通识选修课（公选课）,中华文化与世界文明,谢平,西北水资源相关内容，老师很好,有小组作业和论文，还有课堂展示,论文和14道题目，12道都是能找到答案的,98
中国人文地理,专业课程,非公选课,毋有江,中国人文地理，主要讲PPT,偶尔签到，没去给老师假条就行，不会点人回答问题,期末只有一篇论文，手写，不差重,97
中外美术鉴赏,通识选修课（公选课）,艺术体验与审美鉴赏,王诚浩,感觉更想中外美术史，有点枯燥，老师有点严格,考勤每次上课有签到，有一次小组展示，三人一组,最后一次安排当堂写一篇文章，给定两个题目让你选，可以使用电子产品,89
东方电影与文化,通识选修课（公选课）,艺术体验与审美鉴赏,黄献文,非常好，平常就是看看电影片段,无签到无作业无小组展示无提问,当堂开卷手写论文，提前给选题,96
线性代数,公共课（高数、线代、大物和思政课等）,非公选课,焦雨领,老师讲课清晰，容易理解,无签到，没提问，期末给分好,你只需要考试就可以了很简单,89
大学英语,英语课,非公选课,余诗龙,主要讲授大学英语1-4的课程，老师讲的较为细致,考勤较严格，定期有pre和作文,期末考试加口语考试（pre）,82
中国新诗鉴赏,通识选修课（公选课）,艺术体验与审美鉴赏,方舟,很好的课！！！！！！！！！！！,较少！！！！！！！！！！！,考试！！！！！！！！！！,92
瑜伽2,体育课,非公选课,李群,我瑜伽1没有学，直接学的2,一共只点过两次名。这个课也有男生选,做一套平时学过的动作，不难,94
R语言,专业课程,非公选课,陈值元,很难.........,有很多作业 ......,笔试?机试......,40
广告设计创新思维与制作,通识选修课（公选课）,艺术体验与审美鉴赏,姓刘的女老师,讲广告设计的巧思、广告的经典案例赏析,签到会提前一周通知，大概签到了三次。做过三次小组pre，最后一个广告节课,拍广告结课，要求跟大广赛一样，只要认真做了给分都很好,90
戏曲审美导论,通识选修课（公选课）,艺术体验与审美鉴赏,易栋,各类戏曲，老师很好，听不听其实都可以,偶尔签到，平时没什么事,论文，八百字即可，无查重,90
神奇的人体免疫,通识选修课（公选课）,中华文化与世界文明,罗风玲,讲的是关于免疫和医学细胞还有艾滋什么的,会有签到 最后交一份个人作品 一个小组作业就行,给分不错 最后画海报或者视频或者都行,93
地球与空间,通识选修课（公选课）,科学精神与生命关怀,黄狮勇 丁浩,老师人很好，但是内容枯燥,无签到，无大作业，没有提问等,不限形式的与课程相关的作业就行,94
神奇的人体免疫,通识选修课（公选课）,中华文化与世界文明,罗老师,老师挺温柔的 人很好,         会有签到,         小组作业和个人作业,93
军事高新技术及其应用,通识选修课（公选课）,社会科学与现代社会,唐蓉,每节课讲一个军事高新技术的模块，老师很有激情。给分巨好,有纸质签到，有一次小组展示，有结课论文,最后要交打印版的结课论文,93
设计心理学,专业课程,非公选课,赵涛,老师人很好，是鼓励型的,平时上课会提问，有几次小作业，结课是论文,写一篇论文，3000字，题目挺开放,91
音频技术,专业课程,非公选课,胡壮丽,最后做一个音频压缩包 技术较高,有签到 要期末的时候会交作业,处理音频并提交音频压缩包,90
宇宙新概念,通识选修课（公选课）,科学精神与生命关怀,赵江南,宇宙常识与星体知识，还有老师的趣事,无，平时没有签到没有考核，很简单,考试，开卷，题目出示在白板上，前面的客观题书上能找到，最后一题自己发挥,93
电子技术基础（模拟部分）,专业课程,非公选课,乐健,就是模电数电，乐健老师都开的有课头，乐老师上课讲得很好很有趣，认真交作业完成平时作业考试成绩都会尽力捞捞，在课下也经常和学生交流，特别特别特别好的一个老师,签到比较少，乐老师原话是来不来的不是很重要，提问几乎没有，这个专业课没有小组展示就是平时的讲课和作业到最后会画重点然后考试没有其他的东西,完成平时作业最后闭卷考试,71
古希腊戏剧赏析,通识选修课（公选课）,中华文化与世界文明,艾示薇,讲古希腊悲剧喜剧、课上会放戏剧，在第三学期，给分还行,考勤两次，提问回答问题一次够了（回答一次基本上90）没有论文展示,开卷考试，有三个题目，主要是对戏剧的赏析，要求上课看了,95
宇宙新概念,通识选修课（公选课）,科学精神与生命关怀,赵江南,老师很好，给分很好，会带大家去看看星星看月亮，期末开卷（可以用手机）课上讲故事,无签到无作业无小组展示,开卷考试，可以用手机，最后要现场写一个小论文,94
习概,公共课（高数、线代、大物和思政课等）,非公选课,卢丽珠,老师给分差距很大，好好做是可以刷高分的（平时多回答问题，主动报名展示之类的）,每节课签到，会开火车提问，有一次自主报名的展示（如果报了最后给分会很好），一次小组展示（好好做可以拿满分）,开卷，会给题目范围，但是不要买网上的资料，自己去查&结合上课（其实就是最后一节课）的内容答题，直接抄别人出的资料最后分数会很可怕,96
国际组织学概论,专业课程,非公选课,赵嵘,分几个专题讲的 包括中国外交 国际组织,有一次小组展示 分工很细 文献综述 文稿 ppt都要上交,闭卷考试 题目范围会提前暗示，基本上没什么变化,96
韩国语言与文化,通识选修课（公选课）,中华文化与世界文明,王佳佳,韩语的简单教学和韩国文化的介绍,没有签到 点名 提问 ，都没有,闭卷考试，超级简单，会划重点,96
台湾文学与文化,通识选修课（公选课）,中华文化与世界文明,严靖,部分台湾现代文学作家与作品，老师人不错,一次小组展示，不签到、偶尔请人朗读诗歌,两篇读书笔记、一篇结课论文,93
数学物理方法,专业课程,非公选课,余雄东,复变函数与数理方程，主要和数学有关,不签到，不提问，期中期末考试,期末考试，往年题嗯背就行,86
微型计算机原理,专业课程,非公选课,张荣,微机专业专业课内容，点名和提问较频繁。,挨个提问，要求上课要跟着她的思路，实验课提问也有比较大的占比。,考试和平时提问的结果结合,80
传感器技术,专业课程,非公选课,周辉,讲各种传感器，老师讲的非常好,学习通平时作业，签到，课间实验,期末考试，闭卷，背ppt和往年题即可,90
大众文化研究的理论与实践,通识选修课（公选课）,社会科学与现代社会,李松,讲电影鉴赏，很少的知识量加上很多的影片观赏,经常提问，回答影响成绩。结业形式是闭卷写影评。,结业形式是闭卷写影评。,92
电路原理,专业课程,非公选课,鲁海亮,老师特别认真负责，给分也很好,很少点名，会有期中考试,期末只有一门学院统一的考试,90
大学生职业发展与就业指导,通识选修课（公选课）,社会科学与现代社会,忘了,课上互动比较多，社恐的不推荐,平时基本无考勤，都是课上互动,写一篇不少于2000字论文,89
国际关系与新闻传播,通识选修课（公选课）,社会科学与现代社会,忘了,比较有意思.老师人挺好,没有签到，论文结课，会有pre,论文，，，，，，，，，,85
高等数学C2,公共课（高数、线代、大物和思政课等）,非公选课,杨乔华,高等数学下册书本内容,三次签到和平时作业，只要平时作业不超过3次不交一搬没事，有期中考试但是算签到不算卷面分,期末考试。。。。。。。。,98
篮球,体育课,非公选课,杨跃青,给分高，事少，上课随意，可以自由活动,课前有签到，签到后不会管,根据体育部安排，一般比较简单,100
逻辑思维训练,专业课程,非公选课,杜珊珊,逻辑学相关知识，课上会有很多练习，但是老师讲得很清楚，基本上认真听就可以听懂会做,有三次课后小作业，是平时课堂上练习过的题目，算进最后期末成绩。没有平时签到。,闭卷考试，三道大题，大题有很多小问，但是比较简单，基本上课都有讲过。,96
音乐剧鉴赏,通识选修课（公选课）,中华文化与世界文明,梁利,关于黄河的隶书老师人很好,有签到和很简单的小作业,论文 不查重字数也还可以 很推荐选,90
微机原理,专业课程,非公选课,茹国宝,微机设计与应用，人好事少，老师讲的很专业,没有作业，实验不验收不签到,期末考试，都是老师讲的范围内,90
中国历史地理,专业课程,非公选课,郑威,教授中国历史地理，老师很儒雅,无签到，有一次小组展示,论文结课，不少于3000字,93
人工智能与认知论,通识选修课（公选课）,科学精神与生命关怀,何杨帆,人工智能是如何认知的,点名，平时无作业，无考试，期末要交笔记,个人展示解释论文！！！！！！！！！,98
韩国语言与文化,通识选修课（公选课）,中华文化与世界文明,王佳佳,以韩语教学为主，不过都比较简单，一般是两节半课语言，半节课文化,平时没有点过名，也没有作业,闭卷考试，比平时学的更难一些，但基本能答,96
