课程名称,授课老师,课程内容,考勤与平时作业,考核方式,课程成绩
大众传播学概论,彭彪,课程内容主要是传播学知识，老师风趣幽默,无签到，无提问，无平时作业。期中有个1000多字小论文，期末开卷考试(老师提前给你范围),期中的论文和期末的开卷考试,93
外交礼仪与谈判,吴蔚,老师很好，去过很多国家,平常有小组展示的作业,平时分数加期末闭卷考,92
大数据导论,熊素萍,给分非常的好讲课非常的好,会有一次小测试，平常没有任务,小组展示结课，比较简单轻松,90
植物世界,汪小凡,讲述武汉大学里面主要的植物科，以及每一个科对应的代表性植物,平时作业只有一次，拍学校里面的植物，20张照片，一学期的什么时候交都可以，签到一学期签到一次，而且会提前告知,闭卷考试，50张照片分辨植物的种以及名字，都是授课ppt里面的原照片，考前突击即可,95
宇宙新概念,赵江南,挺好的，网红课了，很受欢迎，老师也很幽默,平时无考勤，不签到，偶尔可以看看星星,期末开卷考，可以带电子设备，题目不难,84
神奇的人体免疫,罗玉凤（还有其他老师）,人体免疫相关知识（讲的很有意思）,一次小组pre没有形式要求,论文、视频、小说、海报等等老师没有限制形式，做了就行,93
音乐欣赏,江柏安,给分完全是考试成绩，考试可以讨论,每节课课堂测试50%+期末考试50%,手机答题（都是选择题）,99
公共经济学,"柳新元
",主要讲柳老师自己编的教材，有时会脱离课本发表自己的看法,无考勤，无作业 很轻松的，没有任务,闭卷考试，但可以使用手机,95
地球之谜,申文斌,老师讲得很好，很有耐心，和蔼可亲,无签到，有提问，无小组展示,平常课后交笔记，几百字小论文,97
台湾文学与文化,严靖,台湾的文学电影音乐 也有相关的时代历史背景,上课偶尔点人 一次小组展示,台湾文学与文化方面论文5000字,90
治水与社会发展,谢平,老师比较幽默，上课也比较有趣，不太让玩手机，可以学到很多治水和社会发展到相关知识，开阔视野,随机签到，做展示有加分,论文结课，主体不限，不算难,89
对联欣赏与写作,王统尚,老师上课认真，授课内容围绕对联的赏析,重视考勤，有提问，上课抽查背书，无小组展示，期末完成对联写作，有平时作业,写对联，围绕日常生活或学校教学环境,98
信息社会的计算文化,张华,课程主要围绕计算机伦理，计算文化及对社会影响展开，对关注社会发展，伦理变迁的同学很好。推荐有兴趣的同学选。,有不定期签到，课堂讨论，小组展示,论文结课，且每个小组必须展示一次,95
东方电影与东方文化,黄文献,无平时作业和考勤，最后一堂课写影评结课，给分很好,无，没有平时作业，也没有考勤，,写影评，最后一堂课写，可以带电子设备,94
俄罗斯历史,牟沫英,前两节课讲俄罗斯的历史，最后一节看视频,开学和期末会考勤，有小组展示，最后论文结课,写1500字的有关俄罗斯的论文,90
逻辑学导论,杜珊珊,老师上课很认真，会在群里互动,没有签到，会在群里互动，没有小组展示论文，会有几次作业，但是老师上课时候会说作业怎么写,考试，然后考试分数和作业成绩一起算,82
遥感与生活,很多老师,遥感与各个方面的联系,平时没有作业，可以水,结课是论文或者ppt,90
音乐欣赏,江伯安,事少给分好，好好上几乎都能满绩,上课事很少，讲一些乐理知识，听音乐,平时的小测成绩+期末测验成绩,95
体育旅游,张力,老师很好玩，上课也很有意思,偶尔签到，一篇电影观后感,一篇论文没有字数要求，但给分比较迷，只有全勤的人最后满绩了,91
舞台表演艺术审美体验,王珊、雷斯媛、杨诚,作为艺术课非常非常好！三个老师每人授课一部分，老师们各有各的风格，但都很有热爱和信仰，强烈推荐这门课课！,每次考勤，几乎没有平时作业，平时作业是学一首歌,上台表演，可以很多人一起，加上一千字论文。,92
化学与社会,罗威,老师非常幽默有趣，会分享一些有意思的人生经验,三次考勤，自愿pre,2000字不查重论文,96
坛经导读,高,讲课很有意思但给分不高,貌似没有吧我印象里好像,1500学后感，就没有别的了，很轻松,88
知识论经典问题,潘磊,知识很硬核，属于哲学的专业研究方向，纯哲学不带意识形态,无考勤，无作业，但需要认真听，很硬核,考试结课，闭卷，需要认真思考,83
植物世界,杜巍,关于植物的很多内容，很有趣，平时上课上一半就出教室看花！！！很棒！强推,基本没考勤，平时作业是拍植物的照片，会有一篇小文章要写，不过不限文体，老师人也很好,识图认植物，有一篇2000字的小文,89
音乐欣赏,陈简,是一个大班课，真的挺好的，老师很认真很有趣。三个小班最后合成一个大班老师轮流上课，但是小测和考试的时候需要和别的同学打好关系，最好是大佬，题目会在屏幕上，选项在手机上,没有签到但是有10次平时小测,50道选择题（可以带手机的那种,99
色彩原理与运用,马桃林,色彩原理的内容，比较枯燥，后面几节课会涉及色彩的实际运用,点名1次，按照学院顺序。两篇小作业和一篇4页的结课论文，内容都是色彩应用分析。,4页以内的色彩应用分析结课论文，图文并茂。,92
戏剧鉴赏,杨诚,介绍戏剧发展历史 平时会放很多戏剧视频 很有意思,每节课都要签到 但是可以请假,戏剧观后感 个人见解等等,94
当代经济与经济思想,文建东,讲授经济学的原理，实用也很有趣,有点名，有提问，无论文，无作业，无小组展示，偶尔有当堂测试,提前告诉考试范围，自带纸质资料，开卷考试,87
当代经济与经济思想,文建东,讲授经济学的原理，实用也很有趣,有点名，有提问，无论文，无作业，无小组展示，偶尔有当堂测试,提前告诉考试范围，自带纸质资料，开卷考试,87
创新思维,谢浩,课堂内容很有趣，气氛也非常欢乐,有扫码签到，个人展示,填一份表格，类似于小作业,87
对联,王统尚,可以给分挺好的就是要点名,有签到  平时作业轻松,创作四副对联简简单单,92
科技与考古,潘春旭,在考古领域运用科技知识,每次课都有签到，但不点名不提问,论文结课且论文要求不高，甚至可以写游记、感想之类的,94
当代经济与经济思想,文建东,讲授经济学的原理，实用也很有趣,有点名，有提问，无论文，无作业，无小组展示，偶尔有当堂测试,提前告诉考试范围，自带纸质资料，开卷考试,87
发展经济学与中国经济发展,李酣,中国经济学发展和一些经济学原理，会有一节课比较硬核，有数学知识,每节课签到，有三次quiz,开卷线上考试，达到及格分数,93
核能及其应用,余亮英,老师很好，上课会讲一些自己的有趣经历,没签到，作业几乎没有,一篇一到两千字手写论文，无查重,93
大数据背景下的营销思维,朱华伟,会换老师讲，感兴趣的话还是可以学到一些东西，讲的内容偏理论，但老师会给很多实例。,平时不太签到，但最后一节课最好去，我去的时候点名了。期中有篇论文,论文。1500字，没有查重要求,88
海外中国形象史,李会玲,外国人如何看中国，老师很好,两次平时作业，写内容，每次签到,开卷考试，大部分PPT上有，少部分老师上课会多次提到,92
生活中的经济法,周围,老师讲得很好，幽默风趣，也有干货，喜欢喜欢,不签到，自愿回答问题，一次小组作业,开卷考试，自己选教材，想印什么都可以,90
医学史,刘永明,关于医学发展和医学人物的历史,有签到，期末是写论文，老师人超级超级好，强烈推荐,写一篇论文，我上课的时候是写一篇关于医学史上的著名人物,95
朝鲜半岛问题研究,王佳佳,朝鲜半岛局势分析、周边各国力量斡旋,签到少，无提问，事少,考试结课，开卷考试，认真考试就没问题,96
基督教与二十世纪中国文化,荣光启,超级好好好好好好好好,平常不点名，无平时作业,期末无考试，只需交六篇与课程相关的感想，不限字数,93
音乐欣赏,江柏安,古典音乐相关知识与鉴赏,每节课有测试，无签到，上课要求不碰电子设备,考试结课，一部分是平时测验的题,93
海外中国形象史,李会玲,老师给分不错，人很nice,不定期点名，有两次作业,开卷考试+考勤+平时作业,92
中国书法基础,肖圣中,教怎么写隶书，老师讲一会儿，然后自己练习,有3到4次作业，有签到,写老师给的16个字，有书法基础的会给分好一点,88
国际组织专题,刘晓莉,大致是关于各个国际组织，比如联合国的历史作用评价之类，老师讲的很好,只有最后一节课会有签到，没有小组作业之类的,3000字的小论文，很好水，老师允许借鉴，要求不高的,85
智慧机器DIY,好多，每堂课都不一样,很好玩，周末上有点难受，期末实验报告由GPT-4辅助完成，给我99,每堂课都有纸质签到，但可以让别人帮你签，有的课会要拍自己实验的照片附在实验报告，这种不能代签,签到（可以有两次不来）+实验报告,99
贝多芬经典作品赏析,胡壮利,这门课主要讲古典时期的音乐作品和人物，老师会在课上播放很多作品（不仅仅是贝多芬），老师讲得很有趣，如果拥有一定音乐基础或者古典音乐知识会听得非常舒服,有时会有突击签到，课上很多提问环节，平时作业有两三次，是听曲写分析和感想,3000字结课论文，一般的主题是一首交响曲,92
体育旅游,张力,讲述有关体育旅游方面的事，很实用，老师人很有趣,平常考勤严一点，会有两次户外活动，有一次不限字数的观后感，,结课论文不限字数，写自己的体会,404
人文社文献检索与数据化分析,黄如花等,主要就是教各个数据库的使用方法什么的，对刚入学的新生来说还挺实用。老师上课也很认真负责,每节课都有手势签到，到最后几次课会有一次小组PPT展示。平时偶尔会有作业，但在上课的时候会带着大家做，课后无负担,交一个检索大作业，老师会发模板，跟着模板来就好,97
太极文化与健康,蔺志华,老师讲课很好，给分不错，平时上课是冥想喝茶还有分享养生知识,平时有一个小组pre，平时偶尔有小组讨论,写课程感想，难度算不大，压力较小,95
计算机基础,刘珺,给分很好，平时完成任务就行,每次上课都有内容，但是有提示跟着走就行,就是平时的任务，完成就行,95
创新思维与方法,谢皓,讲一些关于创新的理念、人物和案例,每节课都签到，课堂互动挺多，固定一个课堂展示，结课一份期末作业,一份期末创新作业 里面有几道题,93
水科学与人类生存,肖益民,主要讲水，跟地理关联比较大,几乎每节课有签到，有作业,2000字论文，查重20,91
能源与可持续发展,熊立红,讲一些能源方面的相关知识，介绍不同能源，以及节能方面,每堂课都需要签到，没有平时作业,开卷考试（可带手机电脑）,96
数据素养与数据利用,刘霞、张宁,老师会介绍一些数据分析、数据提取的相关知识，但难度不是太大，平时回答问题会有加分，结课是小组共同完成一个数据分析报告并pre，老师很nice给分很好,会签到一到两次，平时会布置一些随堂作业，但很简单，都是课上讲过的操作,小组一起选一个主题做一次数据分析报告,92
中医养生概论,宋恩峰,老师认真有趣，能学到东西，给分高,没有签到，有小作业和考试，都是学习通上,需要一篇2000字论文,91
简明世界史1,潘迎春,期末成绩评价机制与老师上课时说的不一样，反映了老师却装聋作哑，最后有同学找了教秘才让问题有可能解决,只用刷慕课，其他的无，想来就来,开卷考试，要写的内容挺多,80
多媒体技术与虚拟现实,陈萍,主要讲ps，pr和制作动画的一些软件,没有签到和提问，也没有小组展示，平时作业都可以在课上完成，跟着老师做就行了，也没有考试，最后就只需要交一个心得体会就行，还可以交自己的作品（加分项）,心得体会，自己的作品（加分项）,95
计算机基础,刘珺,教一些office的操作，适合不熟练的同学打基础和拓展。老师很好，会回答每个举手同学的问题。,有签到，无提问，平时有小作业和大作业，期末是一个大作业，老师会发具体的操作过程，熟练的同学可以在课堂完成作业。不用写论文和其他作业。,签到，小/大作业，每个作业都算分,93
信息素养与实践,龚芙蓉,老师很摆，后面一半的课都没东西，是在重复之前都内容，关键最后小组结课，我觉得很痛苦，真不建议来,有随机签到，平时有作业但是不多,小组pre，要求自己选题,89
媒介素养,王松茂,给分不太行，公选卡绩，讲的东西倒是有点意思,有突击签到，论文结课，有小组展示,论文结课，还有篇小作文,84
inventor创新产品设计,冯霞,给分相当好，主要教授如何设计产品,有签到，期末有一次小组展示,小组展示，要求ppt和产品设计,94
音乐欣赏,李格,老师上课很和蔼放松，基本不会管你在做什么。上课就是放一些音乐视频，讲一些相关知识。课堂氛围很好。,没有签到，平常只有一次小作业。结课形式是手写一篇一千五的论文。,手写一篇一千五百字左右的论文,89
世界桥梁建筑艺术赏析,万臻,万臻老师特别特别好!上课内容也挺好，让人有所收获，和学生互动会比较频繁，只要平时上课基本都去应该成绩就不会差,上课和学生互动频繁，会让人回答问题，但一点不难，中间有阅读一本美学相关的书籍写读后感1000字以上，有一次户外看大桥，结课是小组设计桥梁，虽然我们组设计的不好但是老师还是给了我90以上，要看小组成员是否配合,设计桥梁 小组合作很重要,93
韩国语言与文化,王佳佳,事少分高，没论文没pre，还能真正学到东西，在中华文明与世界文明类里算是非常友好的了，主要学日常交流常用韩语，韩国文化，语言为主，文化为辅,点名，但一般是人数明显少了很多才点名，没有小组展示等一些花里胡哨的东西，去上课就行了,闭卷考选择题，平时上课认真听就很简单，划水的话有点难搞，题目是语言、文化各一半，语言主要是单词、对话的选择题，都是课文内容，课文都很短，认真听课问题不大；文化部分有上课时PPT内补充介绍的，也有课文内容相关的，比如从对韩国各季节天气的描述中选正确或错误的一项。（ps.考试去早点，人多还要隔开坐，卡点去可能要坐教室的台阶上了）,96
计算机基础与原理,李晖,事少，给分迷惑，有的高有的低,两次小作业，一次大作业，不考勤,大作业，写个论文和做ppt,86
inventor创新产品设计,冯霞,给分相当好，主要教授如何设计产品,有签到，期末有一次小组展示,小组展示，要求ppt和产品设计,94
口头艺术与民俗文化,李向振,课程内容有意思且给分很高,不定期签到，结业作业是一篇原创故事3000字,无考试，交一篇不低于3000字原创故事,98
积极心理学,喻丰,超级超级超级好，永远爱喻丰老师！,平时作业就是一周填一个电子版问卷,结课就是交一篇心得体会，字数主题都不限，超级轻松。,0
中国水利史,王红,老师很好很松给分也好，上课讲的很好就是有的时候会忘了下课，上课真的讲的很专业,期末的时候一次作业三题选两题做，会考察到上课讲过的内容，最后一节课交。平时不点名，但好像极少数会点人起来回答问题,开卷考试，会提前发参考教材的电子版，书上基本有完整答案，有的需要文言文自己翻译成白话写在试卷上,94
西班牙语世界的历史与文化,牛田禾,西班牙语已经一些西班牙国家的历史及历史人物看西班牙语国家的电影,不点名无且平时作业平时不去都行,一个小组pre一个开卷考,88
宇宙新概念,赵江南,宇宙的一些基础知识，老师超级好,没有任何作业没有签到没有提问,开卷考，可以用手机，但是最好买书,90
科技与考古,岳春旭,老师很和蔼，课程非常轻松，比较水,有签到，结课3000字论文,结课3000字论文?线上回答问题5个,91
莎士比亚与西方社会,戴丹妮,会挑选几本莎士比亚名著，可以摸鱼啦,有时候会点名，有一次小组作业,结课论文加小组表演片段,92
新时代中国特色大国外交与国际关系,赵嵘,讲一些时政有关的世界大事，政治相关,快跑，组长内定，小组作业2000字报告?PPT，最后还有开卷考试,开卷考试，但不给范围，自己找资料,0
元素营养与健康,田卫群,老师讲课很好认真仔细,小组展示+微助教签到,开卷考试很简单的可查,95
大众文化研究的理论与实践,李松,讲一些电影理论，看看电影，挺轻松的,几乎不点名，没有作业,当堂写一个影评，只要认真写得分就不错,92
智能电网与智慧城市,刘晓莉,主要讲述智能电网原理及应用，会讲一些有趣的故事讲,学习通签到，提问较少，有小组展示，翻译作业,大作业形式结课，发一套卷子一周做完提交,91
病毒与生命,陈宇,会请很多老师来讲授不同的内容，很切合生活实际，本来可以参观实验室但是疫情取消了??,需要每次表格签到，事情不多,论文结课，比较友好捏,93
大学生健康,刘晴,健康行为与健康促进，慢性病防治，饮食与健康，性与健康，健康心理与压力应对，急救,微助教签到，在学习通上布置过一次选择题，4题，都是常识，事很少，没有论文、pre,期末老师说是写报告，但其实就是简答题，4题，题目提前一个星期发在群里，开卷，很简单，PPT上都能找到答案，最后一次课交手写版，可以自己找时间做，也可以最后一次课当堂做，前3道字数少一点，前两题貌似是写几个要点，第3题四五百字，最后一题类似于论述题吧，要求1000字以下，但其实没那么严格，写多了也OK。,90
西方政治文化与思想,忘记了??,接受西方的一些传统的政治来源,无签到，主动回答问题,当场写结课论文的要求,90
中国精神导引,杨建兵,课本十几讲，讲ppt,小组展示两次比较麻烦，偶尔提问加分，好像有好几次签到，没作业,三千字论文结课但是原本打算闭卷的,88
宇宙新概念,赵江南,可以看纪录片，老师很好,没有签到展示和平时作业,开卷考试，书上能找到答案,90
科技与考古,潘春旭,给分超高，内容扎实有趣，,5次学习通跟帖，每节课穿人名单手写钱大,2000字以上论文不查重吧,97
外交谈判与礼仪,吴蔚,外交礼仪的知识，邀请国际交流部宣讲,不会点到，没有作业，不给ppt,上课讲的内容，开放题为主,90
急救常识,中南医院的急诊科医生们,老师会讲一些很多疾病，一些常识性的做法，小小知识大大的智慧本人不是医学生，老师也几乎很少讲专业术语，一般都很家常，帮助很大,无平时作业，期末一套开卷的试题会提前发卷子，自己做,有50分的感想，还有一些基础常识,85
海外中国形象史,李会玲,上课有点无聊，有点像上历史课，老师比较温柔,小学期的跟正常学期可能不太一样，小学期是两次作业,开卷考试，会有一些课上讲过但ppt上没有的内容,92
天文课概论,罗佳,罗老师博学幽默，上课非常注重创新思维的培养，即使是文科生去听也不会感到压力和无聊,有平时作业，是罗老师自己提的问题，有关于课程内容的，也有关于对他的建议的,闭卷考试，但是题目都是课上讲过的，认真听课认真复习就没问题,95
西方城市空间与社会文化,胡嘉渝,给分挺不错的，老师也很好,有两次小组展示加一次课程作业（做两个城市的海报）,小组展示加两个城市海报的制作,92
地铁与城市文明,苏凯,大概讲一下地下空间和地铁的发展历史，看一些有关这方面的视频,他上课要求小组坐一块，每节课要交一个小组作业,拍武汉一个地铁站的视频，交视频和脚本,92
西方文明史,王爱菊,基本英语授课，讲的西方文明史,几乎次次签到，有提问，随机点人，有一次个人pre,中文论文6000字或英文论文4000字,87
地铁与城市文明,苏凯,武汉地铁的发展历程和前景,小组展示很多，考勤严格,小组视频作业视频脚本和论文,97
发展经济学与中国经济发展,李酣,讲一些发展经济学的知识，不是很难，结课考试也是开卷，但不知道为啥我最终成绩只有84（哭）,平时只有签到（不是次次都有），没有作业论文,开卷考试，在学习通平台线上考试但人要到考场来，可以看PPT,84
艾滋病防治,陈述亮,给分好，内容也很简单，是开卷考试,需要交小作业，交三次就可以,开卷考试，加三次小作业当作点到,98
中华乐教导引,易栋,给分很好 老师讲课也很精彩,有群内接龙 和偶尔的点名,小论文结课 字数要求不高,95
物联网,武小平,老师脾气很好，讲课也很不错,平时很水，有签到，在雨课堂，论文给分高,论文字数不少于1500,94
旅行生活与寄生虫,蔡国斌,给分很好，内容在生活中也很实用,基本不签到，两次问卷,一个期末考、一个相关论文,94
中华民族传统体育,刘欣刚,有实践课，可体验传统体育，虽然较少,每节课签到，无作业，有一次小组展示,闭卷考，难度有点阴间,95
中医养生概要,宋恩峰等,如题。老师都来自武汉大学人民医院，课程充实，有现场演示（如针灸），课程群还能看病（不少同学拿到了治失眠或者起痘的方子）,几乎不签到，少量提问，无小组作业，论文结课，需要刷学习通慕课和随堂作业（纯选择题）,3k文章结课，不要求专业性和查重,92
中医养生概要,宋恩峰,老师特别好，武汉大学人民医院的医生，讲的是平时养生一类的中医知识，比较实用,基本不考勤，没有平时作业，就是要做慕课,最后结课是论文，不查重,89
宇宙新概念,赵江南,就是讲宇宙的各种物质的相关知识，会放很多视频,不点名 事情很少  啥事没有  期末开卷考试,开卷考试  内容书上都有  也能看手机,90
老庄导读,秦平,主要讲的就是古籍内容理解啦，老师还蛮厉害的,有一次签到因为人太少了，可以补请假条，有提问讨论课用来加平时分，结课是一个读书报告和开卷考试,开卷考试，题目不难，听不听课都能写,90
世界简明史,。,课程内容挺好的，挺不错的,没有签到，没有提问，没有小组,考试，写作文，三选2好像是,80
动画制作艺术,周雅洁,老师神！上课不用来，PPT上的指引很详细，照做就行,不考勤，两次小作业，一次结课大作业加报告,结课大作业（运用所学知识做一个小视频）+报告,97
戏曲审美导论,易栋,易栋老师真的神！无脑冲,偶尔签到，老师说没到不扣平时分，到了会加分，,给了几个题目任选3个写一篇小论文（课程感谢）500-3000字，不查重,96
老庄导读,秦平,主要讲的就是古籍内容理解啦，老师还蛮厉害的,有一次签到因为人太少了，可以补请假条，有提问讨论课用来加平时分，结课是一个读书报告和开卷考试,开卷考试，题目不难，听不听课都能写,90
简明世界史,潘迎春,讲授内容偏历史知识普及，给分很差,线上看视频，无签到提问,开卷考论述题，开放式,81
博雅艺文导引,江柏安,中国传统音乐与乐器，西方古典音乐，老师会请很多音乐家过来课上演出，上课很享受的，只是要求不能看手机和电脑。,上课很轻松，偶尔会提问，没有展示没有作业没有论文，可能会让你课上学着唱下歌唱个曲什么的，还能欣赏很多乐器弹奏，很惬意的！,每次课有线上答题，期末就是十次答题答题总共一百题里面挑四五十道出来线上考，好像有很多人还有考试题目资料，开卷考，很容易,98
水科学与人类生存,肖益民,主要讲水，跟地理关联比较大,几乎每节课有签到，有作业,2000字论文，查重20,91
女性健康管理,程艳香,能够普及女性健康方面的知识，简单易懂，给分很好,小组作业1次，会点1次名,开卷考试，只要上课听了就没问题,93
俄罗斯历史,忘了…,一次三节课，第一节课小组展示，第二节课上课，第三节课看纪录片。,有一次小组作业，可以自选形式，不同形式给分不同，一般都选情景剧。没有点名。,3000字结课论文，自选题目,89
公共经济学,柳新元,老师高谈阔论，没任何考勤,无完全没有任何考勤任务...,期末闭卷考试...........,87
遥感影像与生活,周军其,老师人巨好，每节课我都玩手机水过去；但是老师讲得也很通俗易懂，很好玩，有时候我都放下手机听了,用雨课堂：每节课签到；偶尔答题但是无关分数，只抽答过一次；有小测试；没有作业,论文，要求不超过2500字，关于遥感影像应用的理解就行,90
西方哲学史,张云涛 杨云飞 赵林 苏德超,讲授西方哲学史，从古希腊到德国古典哲学，脉络清晰，非常有趣,有几次签到，比较水，请假可以随便请，所以不想上课，最好直接请假，不要旷课,开卷考试，两道五十分的哲学材料分析题,88
地下水与人类文明,黄爽,内容有点硬核，蛮专业的,上课会抽人回答问题，有小组PPT展示，期末要交实验报告,实验报告+PPT展示,90
世界简明史,。,课程内容挺好的，挺不错的,没有签到，没有提问，没有小组,考试，写作文，三选2好像是,80
宇宙新概念,赵江南,好好好好好好好好好好,无签到提问都很水没平时分,开卷考试，不准用手机但是其实不管你,92
中国海洋边界问题,匡增军,上课极其无聊，老师不讲什么东西，当然，结课也很轻松，不查重的论文结课，可以小组作业也可以个人作业,很乱！我感觉每年都不会有固定的形式，我们是上台展示来着,给这门课提建议+论文谈感想,90
识读美国,祝捷,非常温柔有趣的老师！！给分也很好！！课堂可以水一水，最后结课是论文，最后一节课来了班级聚会,有两三次英语写作，不难，一次课堂展示，主题有关美国社会触动到你的任何东西，不点名,2000字论文，没别的了,94
色彩原理与应用,马桃林,老师挺好的，给分也高，基本都是90+,作业是仨论文，有一次签到,交三篇论文，每篇两千多字,95
老庄导读,秦平,主要讲的就是古籍内容理解啦，老师还蛮厉害的,有一次签到因为人太少了，可以补请假条，有提问讨论课用来加平时分，结课是一个读书报告和开卷考试,开卷考试，题目不难，听不听课都能写,90
积极心理学,喻丰,超级超级超级好，永远爱喻丰老师！,平时作业就是一周填一个电子版问卷,结课就是交一篇心得体会，字数主题都不限，超级轻松。,98
积极心理学,喻丰,超级超级超级好，永远爱喻丰老师！,平时作业就是一周填一个电子版问卷,结课就是交一篇心得体会，字数主题都不限，超级轻松。,98
世界海洋文明,胡杰,各大海洋的文明发展史,考勤一般，没有作业，很好,论文节课，闭卷形式，比较严格,87
图灵奖与科学精神,黄文斌,特别好给分很高，老师也很好,签到少，提问不多，小组展示有点多，有一些作业,写一篇获奖感言，还有一个个人展示,97
流行音乐的历史、风格与审美,王渊,每节课会有人现场表演 超级好,不签到，有一次作业，不难,自己写曲子或翻唱或乐评,96
 汽车文明,夏热,汽车相关知识，老师很宽松,几次签到会说，一次论文,开卷考，可以带纸质资料,93
人口资源环境与可持续发展,王旭,讲环境资源的持续发展,平时只有一次看纪录片后写观后感，然后有可能有几次课之后老师会提出问题然后你把答案写在纸上交上去,开卷考试，可以带手机和电脑看ppt ,96
台湾文学与文化,严靖,台湾文学文化，包括电影，诗，小说散文等等,无签到，一次小组pre，会抽人回答问题,没有考试，交一篇4000字论文，打印出来交上去就好,91
西北水资源与生态环境,谢平,真学能学到很多知识，混的话很好过,签到够六次就可以，有个人和小组展示,简答题结课，PPT都有答案,91
音乐欣赏,江柏安,各种音乐还是很好听的很享受,每节课一次小测，一共十次,测试，看题在问卷星输答案,99
植物世界,沈巍,植物的科和种，上一节课溜达一节课，我是植物世界铁粉,有一次2000字小作文，不限文体,闭卷考试，全是选择题，上课了or背了老师的PPT就没啥大问题,95
智慧机器DIY,好多，每堂课都不一样,很好玩，周末上有点难受，期末实验报告由GPT-4辅助完成，给我99,每堂课都有纸质签到，但可以让别人帮你签，有的课会要拍自己实验的照片附在实验报告，这种不能代签,签到（可以有两次不来）+实验报告,99
韩国语言与文化,王佳佳,老师很有趣，内容也比较使用，也是有一定要求,平时按到场人数看情况是否签到,期末闭卷考试，选项基本上都是韩语，有一定难度,94
坛经导读,高,讲课很有意思但给分不高,貌似没有吧我印象里好像,1500学后感，就没有别的了，很轻松,88
古典音乐与西方文明,葛佳嘉,老师讲得很好对推荐古典有兴趣的同学选，考试很简单给分很好,随机签到两次+三次随堂小测=平时分,结课考试，单选题+听辩,97
台湾文学与文化,严靖,台湾文学文化，包括电影，诗，小说散文等等,无签到，一次小组pre，会抽人回答问题,没有考试，交一篇4000字论文，打印出来交上去就好,91
中华文物品赏,倪婉，宋海超，彭蛟,讲中华文物，如青铜器，玉器，陶器，瓷器啥啥啥的，还有古遗址，如海昏侯墓。每节课换个老师，老师讲解风格、水平不一,签到是前两节课有助教老师点名签到，之后就没有了。有一次是下大雨人非常少，老师就点到了。提问的话，有少量互动，有些老师是提倡举手回答问题，有加分。(我没回答过)无小组展示。但有一次小作业，很简单。然后有两次实践，我们是一次省博(自己选时间一起去，会点到，一共四个时间段)，一次万林。实践占比15％,手写论文，总4000字，两个题:一个选万林指定区域的文物制作文物档案，一个是选不同时期不同种类文物写论文，没有具体要求。如有照片则打印粘贴,94
朝鲜半岛问题研究,王佳佳,朝鲜半岛周边国家关系等,一次点名，别的都没了，很好,开卷考试，能带手机，牛牛牛,93
恋爱必修课,李爱斌,讲一些关于恋爱心理和性疾病相关知识，给分大部分在3.7,签到次数较多，不过是抽人签到，提问基本没有无小组展示,提交字数1000左右的结课心得,4
知识论经典问题,潘磊,知识很硬核，属于哲学的专业研究方向，纯哲学不带意识形态,无考勤，无作业，但需要认真听，很硬核,考试结课，闭卷，需要认真思考,83
文学欣赏与批评,陈国恩,超级好，只用上慕课，很轻松,平时上慕课，慕课上有一点题目和讨论,考试，两道题，开卷考，不能搜,92
性与社会,邹宇量,讲述性的发展之类的，内容很好玩,只有两次大作业，会选五次课签到，总分为最后分数,就是作业和签到的分数，没有额外考试,91
旅行生活与寄生虫,蔡国斌,给分很好，内容在生活中也很实用,基本不签到，两次问卷,一个期末考、一个相关论文,94
朝鲜半岛问题研究,王萌萌,朝鲜韩国历史和国际关系，国际问题。老师超好,点了一次名，有提前说。可以请假,开卷考，可以用手机。不过之后的考核方式不一定，但老师人很好不为难学生,96
数据素养与数据利用,刘霞、张宁,老师会介绍一些数据分析、数据提取的相关知识，但难度不是太大，平时回答问题会有加分，结课是小组共同完成一个数据分析报告并pre，老师很nice给分很好,会签到一到两次，平时会布置一些随堂作业，但很简单，都是课上讲过的操作,小组一起选一个主题做一次数据分析报告,92
基督教与二十世纪中国文学,荣光启,快冲！老师人非常好！上完之后会打开新的“知识体系”的大门，更加深入地认识基督教和西方文明，以及其对中华文明的影响，扫除偏见与认知误区！收获满满而且只要认真听讲认真写感想基本90+！正如老师微信昵称般，“光启珞珈”！快冲！,无考勤，无签到，老师人很好，但最后有6篇感想而且感想要与每节课的主题相关,6篇感想，感想与每节课的主题有关，或者是课堂相关的书籍阅读感想,95
互联网思维,赵健,好。。。。。。。。。,开卷考试 给ppt。。。。。,创业计划书。      ,96
旅行生活与寄生虫,蔡国斌,给分很好，内容在生活中也很实用,基本不签到，两次问卷,一个期末考、一个相关论文,94
国际礼仪,李晶,老师人非常好，但讲的一般，可能是我不太感兴趣，给分也很行。,签到方式是在QQ群内打卡，只布置过一次作业，就是写一个几百字的观后感，挺好写的。,开卷考试，两个论述题，每题要求字数在800以上（感觉像手写论文）。,88
新时代中国特色大国外交与国际关系,赵嵘,讲一些时政有关的世界大事，政治相关,快跑，组长内定，小组作业2000字报告?PPT，最后还有开卷考试,开卷考试，但不给范围，自己找资料,0
黄河史,梁利,黄河的相关历史，老师人特别特别好！,纸质签到，鼓励回答问题，有两次小论文但都很容易完成,论文不限体裁，有最低字数限制但不会很高，准备和提交时间充裕，有任何问题都可以和老师沟通,93
音乐欣赏,江柏安,不能玩手机，其他还好,无签到，但每次都有小测,每次有小测，最后一次课考试,89
